Date,AMD,ANET,AVGO,COHR,EQIX,GLD,GOOG,LITE,MRVL,SNDR,VRT
2025-09-22,159.7899932861328,145.39999389648438,337.4351806640625,114.5999984741211,788.9661865234375,345.04998779296875,252.53721618652344,164.7100067138672,75.42575073242188,21.811203002929688,151.86717224121094
2025-09-23,160.89999389648438,144.08999633789062,337.5845642089844,109.29000091552734,794.1167602539062,346.4599914550781,251.99794006347656,163.99000549316406,74.51701354980469,21.811203002929688,142.52288818359375
2025-09-24,160.8800048828125,142.63999938964844,337.9530944824219,106.5199966430664,780.7805786132812,343.32000732421875,247.4940643310547,152.75,79.97945404052734,21.424198150634766,141.53347778320312
2025-09-25,161.27000427246094,143.05999755859375,334.75592041015625,106.56999969482422,773.949462890625,344.75,246.2357635498047,159.11000061035156,83.69432830810547,21.116579055786133,139.6846160888672
2025-09-26,159.4600067138672,142.5,333.19219970703125,106.98999786376953,781.3243408203125,346.739990234375,246.8449249267578,160.75,83.05520629882812,21.09673309326172,138.53530883789062
2025-09-29,161.36000061035156,143.3699951171875,326.5887145996094,107.97000122070312,772.8026123046875,352.4599914550781,244.0287628173828,162.5800018310547,82.27628326416016,20.928037643432617,143.2224578857422
2025-09-30,161.7899932861328,145.7100067138672,328.5906677246094,107.72000122070312,774.3052978515625,355.4700012207031,243.2198486328125,162.7100067138672,83.95396423339844,20.997501373291016,150.76783752441406
2025-10-01,164.00999450683594,149.27000427246094,332.0567626953125,114.6500015258789,765.1212768554688,356.0299987792969,245.2071533203125,171.39999389648438,83.77421569824219,20.67995834350586,161.4912872314453
2025-10-02,169.72999572753906,144.4600067138672,336.82757568359375,112.79000091552734,763.7866821289062,354.7900085449219,246.095947265625,169.75,86.08102416992188,20.918115615844727,161.541259765625
2025-10-03,164.6699981689453,145.5,337.0168151855469,113.58000183105469,769.8566284179688,357.6400146484375,246.1159210205078,163.80999755859375,86.10099792480469,21.56312370300293,160.10214233398438
2025-10-06,203.7100067138672,149.5,334.1483459472656,114.7699966430664,780.830078125,364.3800048828125,251.16905212402344,160.60000610351562,88.79727172851562,21.870744705200195,162.70054626464844
2025-10-07,211.50999450683594,145.2899932861328,335.0646667480469,113.55999755859375,778.1015625,366.260009765625,246.7949981689453,157.14999389648438,86.84996795654297,21.444046020507812,158.77294921875
2025-10-08,235.55999755859375,157.36000061035156,344.1183166503906,116.66999816894531,794.4528198242188,372.29998779296875,245.1272735595703,163.08999633789062,92.3723373413086,22.9920654296875,167.2777557373047
2025-10-09,232.88999938964844,158.22999572753906,343.6402282714844,122.3499984741211,799.1090698242188,365.42999267578125,241.88168334960938,159.75999450683594,90.55484008789062,22.932527542114258,168.77685546875
2025-10-10,214.89999389648438,154.10000610351562,323.331787109375,111.0999984741211,791.46728515625,369.1199951171875,237.16807556152344,149.61000061035156,85.54844665527344,22.029516220092773,168.90673828125
2025-10-13,216.4199981689453,147.4499969482422,355.2735290527344,115.12999725341797,797.0923461914062,378.0899963378906,244.30838012695312,160.55999755859375,89.32572937011719,21.960052490234375,178.89065551757812
2025-10-14,218.08999633789062,138.7899932861328,342.7538146972656,109.37000274658203,808.0953979492188,380.7900085449219,245.85629272460938,156.77999877929688,86.15800476074219,22.31728744506836,175.04299926757812
2025-10-15,238.60000610351562,143.3800048828125,349.92498779296875,110.41000366210938,812.8604125976562,387.3900146484375,251.36880493164062,156.57000732421875,88.82608795166016,22.505828857421875,180.39971923828125
2025-10-16,234.55999755859375,146.00999450683594,352.7337341308594,115.95999908447266,803.4984741210938,396.45001220703125,251.53857421875,163.22999572753906,88.16656494140625,23.428688049316406,177.7113800048828
2025-10-17,233.0800018310547,143.10000610351562,347.9330139160156,116.3499984741211,804.6452026367188,388.989990234375,253.4459686279297,164.77000427246094,87.88675689697266,23.04168128967285,173.8937225341797
2025-10-20,240.55999755859375,146.47999572753906,347.8433532714844,120.19999694824219,815.7273559570312,403.1499938964844,256.6716003417969,161.0,85.77827453613281,23.39891815185547,175.62265014648438
2025-10-21,238.02999877929688,145.94000244140625,341.2897033691406,120.79000091552734,812.6231689453125,377.239990234375,250.99929809570312,162.9499969482422,84.19941711425781,23.726383209228516,174.69322204589844
2025-10-22,230.22999572753906,146.58999633789062,338.9391174316406,115.37000274658203,819.5927124023438,377.2799987792969,252.18768310546875,158.05999755859375,80.99172973632812,23.349302291870117,171.48516845703125
2025-10-23,234.99000549316406,152.75999450683594,342.9131774902344,121.5199966430664,822.4398803710938,378.7900085449219,253.3860626220703,168.5,82.71048736572266,22.5157527923584,183.0880889892578
2025-10-24,252.9199981689453,153.82000732421875,352.71380615234375,129.33999633789062,829.9136352539062,377.5199890136719,260.1568603515625,179.3000030517578,84.06950378417969,22.714216232299805,185.94635009765625
